NumberOfTerms,Threads,Time(s),Value of PI
10,1,0.00000000,3.141406774520874
10,2,0.00000000,3.141406774520874
10,3,0.00000000,3.141406536102295
10,4,0.00000000,3.141406774520874
10,5,0.00099993,3.141407012939453
10,6,0.00100017,3.141407012939453
10,7,0.00000000,3.141406774520874
10,8,0.00000000,3.141406774520874
100,1,0.00000000,3.141592502593994
100,2,0.00000000,3.141592502593994
100,3,0.00099993,3.141592502593994
100,4,0.00000000,3.141592502593994
100,5,0.00000000,3.141592741012573
100,6,0.00099993,3.141592264175415
100,7,0.00000000,3.141592264175415
100,8,0.00000000,3.141592502593994
1000,1,0.00000000,3.141593933105469
1000,2,0.00000000,3.141593933105469
1000,3,0.00100017,3.141593933105469
1000,4,0.00000000,3.141593933105469
1000,5,0.00000000,3.141593933105469
1000,6,0.00000000,3.141593933105469
1000,7,0.00000000,3.141593933105469
1000,8,0.00000000,3.141593933105469
1500,1,0.00099993,3.141592502593994
1500,2,0.00000000,3.141592502593994
1500,3,0.00000000,3.141592502593994
1500,4,0.00000000,3.141592502593994
1500,5,0.00099993,3.141592502593994
1500,6,0.00000000,3.141592502593994
1500,7,0.00000000,3.141592502593994
1500,8,0.00100017,3.141592741012573
2000,1,0.00000000,3.141642332077026
2000,2,0.00000000,3.141642570495606
2000,3,0.00000000,3.141642332077026
2000,4,0.00000000,3.141642570495606
2000,5,0.00099993,3.141642332077026
2000,6,0.00000000,3.141642332077026
2000,7,0.00000000,3.141642332077026
2000,8,0.00099993,3.141642570495606
